PH,Turbidity,Dissolve Oxygen,Temp
7.01,3000.0,6.0,25.81
7.01,-224.17,5.0,25.87
7.01,-262.32,5.0,25.81
7.01,-262.32,5.0,25.87
7.01,-339.29,4.0,25.87
7.01,-148.55,4.0,25.81
7.0,-495.91,1.0,25.87
7.01,-186.25,4.0,25.87
7.02,1117.97,3.0,25.94
7.01,591.36,5.0,25.87
7.01,-737.56,6.0,25.87
7.02,3000.0,2.0,25.94
7.02,3000.0,3.0,25.87
7.02,2826.91,-4.0,25.94
7.02,3003.5,-1.0,25.94
7.02,3000.0,-1.0,25.94
7.02,1397.48,2.0,25.94
7.02,1424.2,0.0,25.87
7.02,1370.54,0.0,25.87
7.02,1260.52,0.0,25.94
7.02,3000.0,2.0,25.94
7.02,3000.0,2.0,25.94
7.01,525.15,-1.0,25.94
7.02,-417.15,-1.0,25.94
7.02,-339.29,-1.0,25.94
7.02,-535.63,-2.0,26.0
7.02,-535.63,-1.0,26.0
7.02,-656.12,-1.0,26.0
7.03,-819.91,-4.0,25.94
7.02,-945.11,-7.0,26.0
7.02,-1029.69,-3.0,26.06
7.02,-861.42,-6.0,26.0
7.02,-778.63,-3.0,26.0
7.02,-696.73,-2.0,26.06
7.02,-615.73,-6.0,26.06
7.03,-575.56,-6.0,26.06
7.02,-615.73,-6.0,26.12
7.02,1175.66,-9.0,26.06
7.02,525.15,-8.0,26.12
7.03,390.04,-4.0,26.12
7.03,3000.0,-6.0,26.12
7.03,2458.93,-2.0,26.06
7.03,2019.35,-4.0,26.12
7.04,1976.89,-9.0,26.12
7.03,1397.48,-7.0,26.12
7.02,-148.55,-8.0,26.06
7.03,-111.08,-5.0,26.06
7.02,-111.08,-7.0,26.12
7.03,3003.27,-9.0,26.12
7.03,3000.0,-6.0,26.12
7.02,109.07,-6.0,26.12
7.03,144.97,-3.0,26.12
7.03,3000.0,-5.0,26.12
7.03,-262.32,-5.0,26.12
7.02,36.58,-5.0,26.12
7.03,-696.73,-2.0,26.12
7.01,1679.07,-6.0,26.12
7.03,1370.54,-4.0,26.12
7.02,1029.74,-6.0,26.12
7.03,1503.01,-1.0,26.12
7.03,-1158.25,-2.0,26.12
7.02,-575.56,-6.0,26.12
7.04,-1115.17,-7.0,26.12
7.03,-186.25,-4.0,26.12
7.03,3000.0,-3.0,26.12
7.03,-696.73,-1.0,26.12
7.03,-819.91,0.0,26.12
7.03,1679.07,1.0,26.06
7.03,1476.97,0.0,26.06
7.04,1679.07,0.0,26.12
7.04,1397.48,0.0,26.06
7.03,1343.37,1.0,26.12
